기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20181001053500,84021.0,52424.6,68700.0,31596.4,60.2703,29158.4,55.6198
20181001054000,84021.0,52282.6,68700.0,31738.4,60.7056,29300.4,56.0425
20181001054500,84021.0,52539.0,68700.0,31482.0,59.9213,29044.0,55.2809
20181001055000,84021.0,52991.2,68700.0,31029.8,58.5566,28591.8,53.9558
20181001055500,84021.0,53140.4,68700.0,30880.6,58.1113,28442.6,53.5235
20181001060000,84021.0,53156.0,68700.0,30865.0,58.0649,28427.0,53.4784
20181001060500,84132.0,53488.3,68700.0,30643.7,57.2905,28205.7,52.7325
20181001061000,84132.0,53554.4,68700.0,30577.6,57.0963,28139.6,52.5439
20181001061500,84132.0,54280.2,68700.0,29851.8,54.9957,27413.8,50.5042
20181001062000,84132.0,54255.4,68700.0,29876.6,55.0666,27438.6,50.573
20181001062500,84132.0,54488.6,68700.0,29643.4,54.403,27205.4,49.9287
20181001063000,84132.0,54737.3,68700.0,29394.7,53.7015,26956.7,49.2475
20181001063500,84132.0,55178.5,68700.0,28953.5,52.4725,26515.5,48.0541
20181001064000,84132.0,55411.8,68700.0,28720.2,51.8304,26282.2,47.4306
20181001064500,84132.0,55567.6,68700.0,28564.4,51.4048,26126.4,47.0174
20181001065000,84132.0,56164.1,68700.0,27967.9,49.7969,25529.9,45.456
20181001065500,84132.0,56382.3,68700.0,27749.7,49.217,25311.7,44.8929
20181001070000,84132.0,57041.7,68700.0,27090.3,47.492,24652.3,43.2179
20181001070500,84132.0,57553.4,68700.0,26578.6,46.1808,24140.6,41.9448
20181001071000,84432.0,57965.9,68700.0,26466.1,45.658,24028.1,41.452
20181001071500,84432.0,58597.8,68700.0,25834.2,44.0873,23396.2,39.9268
20181001072000,84432.0,58729.9,68700.0,25702.1,43.7631,23264.1,39.6119
20181001072500,84432.0,58925.9,68700.0,25506.1,43.2851,23068.1,39.1477
20181001073000,84432.0,58776.5,68700.0,25655.5,43.6492,23217.5,39.5013
20181001073500,84685.0,59714.7,68700.0,24970.3,41.8159,22532.3,37.7332
20181001074000,84685.0,60008.7,68700.0,24676.3,41.1212,22238.3,37.0585
20181001074500,84685.0,60139.4,68700.0,24545.6,40.8145,22107.6,36.7606
20181001075000,84685.0,60629.4,68700.0,24055.6,39.6764,21617.6,35.6552
20181001075500,84685.0,60286.1,68700.0,24398.9,40.4718,21960.9,36.4278
20181001080000,84685.0,59377.7,68700.0,25307.3,42.6209,22869.3,38.5149
20181001080500,84685.0,60197.5,68700.0,24487.5,40.6786,22049.5,36.6286
20181001081000,84685.0,60198.7,68700.0,24486.3,40.6759,22048.3,36.6259
20181001081500,84685.0,60630.4,68700.0,24054.6,39.6743,21616.6,35.6532
20181001082000,84685.0,60925.0,68700.0,23760.0,38.9987,21322.0,34.997
20181001082500,84685.0,61633.8,68700.0,23051.2,37.4002,20613.2,33.4446
20181001083000,84685.0,61785.5,68700.0,22899.5,37.063,20461.5,33.117
20181001083500,84685.0,62156.8,68700.0,22528.2,36.2442,20090.2,32.3218
20181001084000,84685.0,62384.6,68700.0,22300.4,35.7466,19862.4,31.8385
20181001084500,84685.0,62531.6,68700.0,22153.4,35.4275,19715.4,31.5287
20181001085000,84685.0,62776.9,68700.0,21908.1,34.8983,19470.1,31.0147
20181001085500,84685.0,62764.9,68700.0,21920.1,34.9242,19482.1,31.0399
20181001090000,84685.0,62389.3,68700.0,22295.7,35.7365,19857.7,31.8287
20181001090500,84685.0,62641.2,68700.0,22043.8,35.1905,19605.8,31.2985
20181001091000,84685.0,62678.1,68700.0,22006.9,35.1109,19568.9,31.2212
20181001091500,84685.0,62971.5,68700.0,21713.5,34.4815,19275.5,30.6099
20181001092000,84685.0,63049.4,68700.0,21635.6,34.3153,19197.6,30.4485
20181001092500,84685.0,62849.7,68700.0,21835.3,34.7421,19397.3,30.863
20181001093000,84685.0,63030.2,68700.0,21654.8,34.3561,19216.8,30.4881
20181001093500,84685.0,63104.3,68700.0,21580.7,34.1984,19142.7,30.335
20181001094000,84685.0,63148.8,68700.0,21536.2,34.1038,19098.2,30.2431
20181001094500,84685.0,62880.4,68700.0,21804.6,34.6764,19366.6,30.7992
20181001095000,84685.0,62949.2,68700.0,21735.8,34.529,19297.8,30.6561
20181001095500,84685.0,63221.5,68700.0,21463.5,33.9496,19025.5,30.0933
20181001100000,84685.0,63101.1,68700.0,21583.9,34.2052,19145.9,30.3416
20181001100500,84685.0,63067.7,68700.0,21617.3,34.2764,19179.3,30.4107
20181001101000,84685.0,63004.0,68700.0,21681.0,34.412,19243.0,30.5424
20181001101500,84685.0,63268.9,68700.0,21416.1,33.8494,18978.1,29.996
20181001102000,84685.0,63483.4,68700.0,21201.6,33.3971,18763.6,29.5567
20181001102500,84685.0,63999.8,68700.0,20685.2,32.3208,18247.2,28.5114
20181001103000,84685.0,63856.3,68700.0,20828.7,32.618,18390.7,28.8001
20181001103500,84685.0,63920.0,68700.0,20765.0,32.486,18327.0,28.6718
20181001104000,84685.0,63939.8,67700.0,20745.2,32.4449,18307.2,28.632
20181001104500,84685.0,63863.8,67700.0,20821.2,32.6025,18383.2,28.785
20181001105000,84685.0,63952.1,67700.0,20732.9,32.4195,18294.9,28.6072
20181001105500,84685.0,64165.5,67700.0,20519.5,31.9789,18081.5,28.1794
20181001110000,84685.0,63920.1,67700.0,20764.9,32.4858,18326.9,28.6716
20181001110500,84685.0,63897.8,67700.0,20787.2,32.532,18349.2,28.7166
20181001111000,84685.0,63865.6,67700.0,20819.4,32.5987,18381.4,28.7813
20181001111500,84685.0,63635.1,67700.0,21049.9,33.0792,18611.9,29.2479
20181001112000,84685.0,63571.0,67700.0,21114.0,33.2133,18676.0,29.3782
20181001112500,84685.0,63690.5,67700.0,20994.5,32.9634,18556.5,29.1355
20181001113000,84685.0,63695.5,67700.0,20989.5,32.9528,18551.5,29.1252
20181001113500,84685.0,63517.9,67700.0,21167.1,33.3247,18729.1,29.4864
20181001114000,84685.0,63326.4,67700.0,21358.6,33.7278,18920.6,29.8779
20181001114500,84685.0,63257.6,67700.0,21427.4,33.8732,18989.4,30.0192
20181001115000,84685.0,62931.4,67700.0,21753.6,34.5672,19315.6,30.6931
20181001115500,84685.0,62626.8,67700.0,22058.2,35.2216,19620.2,31.3287
20181001120000,84685.0,61638.1,67700.0,23046.9,37.3908,20608.9,33.4354
20181001120500,84685.0,61376.5,67700.0,23308.5,37.9762,20870.5,34.004
20181001121000,84685.0,61124.3,67700.0,23560.7,38.5455,21122.7,34.5569
20181001121500,84685.0,60919.1,67700.0,23765.9,39.0123,21327.9,35.0103
20181001122000,84685.0,60890.8,67700.0,23794.2,39.0769,21356.2,35.073
20181001122500,84685.0,61043.1,67700.0,23641.9,38.7298,21203.9,34.7359
20181001123000,84685.0,60648.8,67700.0,24036.2,39.6318,21598.2,35.6119
20181001123500,84685.0,60373.8,67700.0,24311.2,40.2679,21873.2,36.2297
20181001124000,84685.0,60245.0,67700.0,24440.0,40.5677,22002.0,36.5209
20181001124500,84685.0,60235.0,67700.0,24450.0,40.5911,22012.0,36.5436
20181001125000,84685.0,60318.7,67700.0,24366.3,40.396,21928.3,36.3541
20181001125500,84685.0,60619.9,67700.0,24065.1,39.6983,21627.1,35.6765
20181001130000,84685.0,61241.0,67700.0,23444.0,38.2816,21006.0,34.3006
20181001130500,84685.0,61467.6,67700.0,23217.4,37.7717,20779.4,33.8054
20181001131000,84685.0,62208.6,67700.0,22476.4,36.1307,20038.4,32.2116
20181001131500,84685.0,62615.6,67700.0,22069.4,35.2458,19631.4,31.3522
20181001132000,84685.0,62572.3,67700.0,22112.7,35.3394,19674.7,31.4431
20181001132500,84685.0,63055.8,67700.0,21629.2,34.3017,19191.2,30.4352
20181001133000,84685.0,63495.5,67700.0,21189.5,33.3716,18751.5,29.532
20181001133500,84685.0,63660.3,67700.0,21024.7,33.0264,18586.7,29.1967
20181001134000,84685.0,64045.0,67700.0,20640.0,32.2273,18202.0,28.4206
20181001134500,84685.0,64263.1,67700.0,20421.9,31.7785,17983.9,27.9847
20181001135000,84685.0,64360.0,67700.0,20325.0,31.5803,17887.0,27.7922
20181001135500,84685.0,64182.9,67700.0,20502.0,31.9431,18064.0,28.1446
20181001140000,84685.0,64398.3,67700.0,20286.7,31.5019,17848.7,27.7161
20181001140500,84685.0,64535.0,67700.0,20150.0,31.2233,17712.0,27.4455
20181001141000,84685.0,64697.5,67700.0,19987.5,30.8937,17549.5,27.1254
20181001141500,84685.0,64522.3,67700.0,20162.7,31.2492,17724.7,27.4706
20181001142000,84685.0,64602.0,67700.0,20083.0,31.0873,17645.0,27.3134
20181001142500,84685.0,64697.2,67700.0,19987.7,30.8943,17549.7,27.126
20181001143000,84342.0,64711.8,67700.0,19630.2,30.3347,17192.2,26.5673
20181001143500,84342.0,64567.5,67700.0,19774.5,30.6261,17336.5,26.8502
20181001144000,84342.0,64887.7,67700.0,19454.3,29.9814,17016.3,26.2242
20181001144500,84342.0,64738.4,67700.0,19603.6,30.2812,17165.6,26.5153
20181001145000,84342.0,64932.7,67700.0,19409.3,29.8914,16971.3,26.1368
20181001145500,84342.0,64750.9,67700.0,19591.1,30.256,17153.1,26.4908
20181001150000,84342.0,64723.5,67700.0,19618.5,30.3112,17180.5,26.5444
20181001150500,84342.0,64512.4,67700.0,19829.6,30.7377,17391.6,26.9586
20181001151000,84342.0,64534.9,67700.0,19807.1,30.6921,17369.1,26.9143
