기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20190701000000,87608.0,53258.7,59800.0,34349.3,64.4952,31364.3,58.8905
20190701000500,87608.0,53160.8,59800.0,34447.2,64.7982,31462.2,59.1832
20190701001000,87608.0,52996.3,74740.0,34611.7,65.3097,31626.7,59.6773
20190701001500,87608.0,52958.3,74740.0,34649.7,65.4282,31664.7,59.7916
20190701002000,87608.0,52802.6,74740.0,34805.4,65.9159,31820.4,60.2628
20190701002500,87608.0,52673.7,74740.0,34934.3,66.3222,31949.3,60.6552
20190701003000,87608.0,52778.0,74740.0,34830.0,65.9933,31845.0,60.3375
20190701003500,87608.0,52740.7,74740.0,34867.3,66.1107,31882.3,60.4509
20190701004000,87608.0,52535.6,74740.0,35072.4,66.7595,32087.4,61.0776
20190701004500,87608.0,52704.4,74740.0,34903.6,66.2252,31918.6,60.5616
20190701005000,87608.0,52595.7,74740.0,35012.3,66.5689,32027.3,60.8935
20190701005500,87608.0,52714.6,74740.0,34893.4,66.1931,31908.4,60.5306
20190701010000,87608.0,52042.1,74740.0,35565.9,68.3406,32580.9,62.6049
20190701010500,87608.0,52276.3,74740.0,35331.7,67.5865,32346.7,61.8764
20190701011000,87608.0,52548.8,74740.0,35059.2,66.7175,32074.2,61.0371
20190701011500,87608.0,52101.0,74740.0,35507.0,68.1504,32522.0,62.4212
20190701012000,87608.0,51721.0,74740.0,35887.0,69.3859,32902.0,63.6145
20190701012500,87608.0,51904.9,74740.0,35703.1,68.7855,32718.1,63.0346
20190701013000,87608.0,51887.3,74740.0,35720.7,68.8429,32735.7,63.0901
20190701013500,87608.0,51766.3,74740.0,35841.7,69.2376,32856.7,63.4713
20190701014000,87608.0,51947.4,74740.0,35660.6,68.6476,32675.6,62.9014
20190701014500,87608.0,51942.8,74740.0,35665.2,68.6626,32680.2,62.9159
20190701015000,87608.0,51882.3,74740.0,35725.7,68.8592,32740.7,63.1058
20190701015500,87608.0,51865.1,74740.0,35742.9,68.9152,32757.9,63.1599
20190701020000,87608.0,51565.6,74740.0,36042.4,69.8964,33057.4,64.1076
20190701020500,87608.0,51470.2,74740.0,36137.8,70.2111,33152.8,64.4116
20190701021000,87608.0,51308.2,74740.0,36299.8,70.7485,33314.8,64.9307
20190701021500,87608.0,51254.0,74740.0,36354.0,70.9291,33369.0,65.1051
20190701022000,87608.0,51229.0,74740.0,36379.0,71.0124,33394.0,65.1856
20190701022500,87608.0,51509.3,74740.0,36098.7,70.0819,33113.7,64.2868
20190701023000,87608.0,51548.5,74740.0,36059.5,69.9525,33074.5,64.1619
20190701023500,87608.0,52004.5,74700.0,35603.5,68.4622,32618.5,62.7223
20190701024000,87608.0,52038.9,74700.0,35569.1,68.351,32584.1,62.6149
20190701024500,87608.0,52031.8,74700.0,35576.2,68.3739,32591.2,62.637
20190701025000,87608.0,51694.8,74700.0,35913.2,69.4716,32928.2,63.6974
20190701025500,87608.0,51941.5,74700.0,35666.5,68.6667,32681.5,62.9199
20190701030000,87608.0,52066.8,74700.0,35541.2,68.2607,32556.2,62.5277
20190701030500,87608.0,51812.1,74700.0,35795.9,69.088,32810.9,63.3268
20190701031000,87608.0,51697.4,74700.0,35910.6,69.4631,32925.6,63.6891
20190701031500,87608.0,52031.4,74700.0,35576.6,68.3753,32591.6,62.6384
20190701032000,87608.0,52099.0,74700.0,35509.0,68.1567,32524.0,62.4272
20190701032500,87608.0,51913.1,74700.0,35694.9,68.7589,32709.9,63.0089
20190701033000,87608.0,51836.5,74700.0,35771.5,69.0083,32786.5,63.2499
20190701033500,87608.0,51838.5,74700.0,35769.5,69.0019,32784.5,63.2436
20190701034000,90696.0,51617.1,74700.0,39078.9,75.7094,36093.9,69.9264
20190701034500,90696.0,51968.3,74700.0,38727.7,74.5219,35742.7,68.778
20190701035000,90696.0,51953.6,74700.0,38742.4,74.5711,35757.4,68.8256
20190701035500,90696.0,51736.1,74700.0,38959.9,75.3051,35974.9,69.5354
20190701040000,90696.0,51620.7,74700.0,39075.3,75.6971,36090.3,69.9145
20190701040500,90696.0,51795.8,74700.0,38900.2,75.103,35915.2,69.34
20190701041000,90696.0,51928.3,74700.0,38767.7,74.6561,35782.7,68.9078
20190701041500,90696.0,52201.0,74700.0,38495.0,73.7438,35510.0,68.0255
20190701042000,90696.0,51983.7,74700.0,38712.3,74.47,35727.3,68.7278
20190701042500,90696.0,51979.6,74700.0,38716.4,74.4837,35731.4,68.7411
20190701043000,90696.0,52017.6,74700.0,38678.4,74.3565,35693.4,68.618
20190701043500,90696.0,52160.5,74700.0,38535.5,73.8785,35550.5,68.1558
20190701044000,90696.0,52186.7,74700.0,38509.3,73.7915,35524.3,68.0717
20190701044500,90696.0,52131.2,74700.0,38564.8,73.9764,35579.8,68.2505
20190701045000,90696.0,52176.7,74700.0,38519.3,73.8247,35534.3,68.1038
20190701045500,90696.0,52037.4,74700.0,38658.6,74.29,35673.6,68.5538
20190701050000,90696.0,52007.4,74700.0,38688.6,74.3905,35703.6,68.6509
20190701050500,90696.0,52159.6,74700.0,38536.4,73.8817,35551.4,68.1588
20190701051000,90696.0,52421.9,74700.0,38274.1,73.0117,35289.1,67.3175
20190701051500,90696.0,52496.6,74700.0,38199.4,72.7654,35214.4,67.0793
20190701052000,90696.0,52652.8,74700.0,38043.2,72.2529,35058.2,66.5836
20190701052500,90696.0,52686.5,74700.0,38009.5,72.1427,35024.5,66.4771
20190701053000,90696.0,52610.7,74700.0,38085.3,72.3909,35100.3,66.7172
20190701053500,90696.0,53049.8,74700.0,37646.2,70.9638,34661.2,65.337
20190701054000,90856.0,53265.1,74700.0,37590.9,70.5734,34605.9,64.9693
20190701054500,90856.0,53379.7,74700.0,37476.3,70.2071,34491.3,64.6151
20190701055000,90856.0,53502.9,74700.0,37353.1,69.8152,34368.1,64.2361
20190701055500,90856.0,53594.0,74700.0,37262.0,69.5263,34277.0,63.9567
20190701060000,90856.0,53999.6,74700.0,36856.4,68.2531,33871.4,62.7253
20190701060500,90856.0,54575.0,74700.0,36281.0,66.4793,33296.0,61.0097
20190701061000,90856.0,55000.5,74700.0,35855.5,65.1911,32870.5,59.7639
20190701061500,90856.0,54896.6,74700.0,35959.4,65.5038,32974.4,60.0663
20190701062000,90856.0,54717.3,74700.0,36138.7,66.0462,33153.7,60.5908
20190701062500,90856.0,54963.9,74700.0,35892.1,65.3011,32907.1,59.8703
20190701063000,90856.0,55184.9,74700.0,35671.1,64.6393,32686.1,59.2302
20190701063500,90856.0,55478.9,74700.0,35377.1,63.7668,32392.1,58.3863
20190701064000,90856.0,55155.8,74700.0,35700.2,64.7262,32715.2,59.3143
20190701064500,90856.0,55367.9,74700.0,35488.1,64.095,32503.1,58.7038
20190701065000,90856.0,55645.6,74700.0,35210.4,63.2761,32225.4,57.9118
20190701065500,90856.0,56330.3,74700.0,34525.7,61.2915,31540.7,55.9924
20190701070000,90856.0,56973.7,74700.0,33882.3,59.4699,30897.3,54.2307
20190701070500,90856.0,57511.6,74700.0,33344.4,57.9786,30359.4,52.7884
20190701071000,90856.0,57686.3,74700.0,33169.7,57.5,30184.7,52.3255
20190701071500,90856.0,58078.1,74700.0,32777.9,56.4375,29792.9,51.2979
20190701072000,90856.0,58497.3,74700.0,32358.7,55.3165,29373.7,50.2137
20190701072500,90856.0,58999.7,74700.0,31856.3,53.9939,28871.3,48.9345
20190701073000,90856.0,59583.0,74700.0,31273.0,52.4865,28288.0,47.4767
20190701073500,90856.0,59715.4,74700.0,31140.6,52.1485,28155.6,47.1498
20190701074000,90856.0,59982.0,74700.0,30874.0,51.4721,27889.0,46.4956
20190701074500,90856.0,60573.1,74700.0,30282.9,49.9939,27297.9,45.066
20190701075000,90856.0,61054.1,74700.0,29801.9,48.8123,26816.9,43.9232
20190701075500,90856.0,61699.5,74700.0,29156.5,47.2557,26171.5,42.4177
20190701080000,90856.0,62904.7,74700.0,27951.3,44.4343,24966.3,39.689
20190701080500,90856.0,63518.5,74700.0,27337.5,43.0386,24352.5,38.3392
20190701081000,90856.0,64040.3,74700.0,26815.7,41.8731,23830.7,37.212
20190701081500,90890.0,65023.2,74700.0,25866.8,39.7808,22881.8,35.1901
20190701082000,90890.0,65300.0,74700.0,25590.0,39.1884,22605.0,34.6172
20190701082500,90840.0,65847.4,74700.0,24992.6,37.9554,22007.6,33.4222
20190701083000,90840.0,66695.6,74700.0,24144.4,36.2009,21159.4,31.7253
20190701083500,90840.0,67550.9,74700.0,23289.1,34.4763,20304.1,30.0574
20190701084000,90840.0,67953.7,74700.0,22886.3,33.6793,19901.3,29.2866
20190701084500,90840.0,67953.9,74700.0,22886.1,33.6789,19901.1,29.2862
20190701085000,90840.0,68481.7,74700.0,22358.3,32.6485,19373.3,28.2897
20190701085500,90840.0,68690.9,74700.0,22149.1,32.2446,19164.1,27.899
20190701090000,90840.0,68797.1,74700.0,22042.9,32.0405,19057.9,27.7017
20190701090500,90840.0,69090.0,74700.0,21750.0,31.4807,18765.0,27.1603
20190701091000,90301.0,69535.3,74700.0,20765.7,29.8636,17780.7,25.5708
20190701091500,90301.0,69921.0,74700.0,20380.0,29.1472,17395.0,24.878
20190701092000,90301.0,70127.2,74700.0,20173.7,28.7673,17188.7,24.5108
20190701092500,90301.0,70514.3,74700.0,19786.7,28.0606,16801.7,23.8274
20190701093000,90301.0,70853.4,74700.0,19447.6,27.4477,16462.6,23.2347
20190701093500,90301.0,70926.0,74700.0,19375.0,27.3172,16390.0,23.1086
20190701094000,90301.0,71210.3,74700.0,19090.7,26.8089,16105.7,22.6171
