기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20191001000000,83911.0,58422.9,72300.0,25488.1,43.627,23244.1,39.786
20191001000500,83911.0,58592.1,72300.0,25318.9,43.2121,23074.9,39.3822
20191001001000,83911.0,58067.1,72300.0,25843.9,44.507,23599.9,40.6425
20191001001500,83911.0,57786.7,72500.0,26124.3,45.2081,23880.3,41.3248
20191001002000,83911.0,57356.2,72500.0,26554.8,46.298,24310.8,42.3856
20191001002500,83911.0,57255.7,72500.0,26655.3,46.5549,24411.3,42.6357
20191001003000,83911.0,56864.0,72500.0,27047.0,47.5643,24803.0,43.618
20191001003500,83911.0,56842.4,72500.0,27068.6,47.6205,24824.6,43.6727
20191001004000,83911.0,56691.5,72500.0,27219.5,48.0133,24975.5,44.0551
20191001004500,83911.0,56303.5,72500.0,27607.5,49.0333,25363.5,45.0477
20191001005000,83911.0,55960.3,72500.0,27950.7,49.9475,25706.7,45.9375
20191001005500,83911.0,55933.2,72500.0,27977.8,50.02,25733.8,46.0081
20191001010000,83911.0,55611.9,72500.0,28299.1,50.8869,26055.1,46.8518
20191001010500,83911.0,55592.2,72500.0,28318.8,50.9402,26074.8,46.9036
20191001011000,83911.0,55584.2,72500.0,28326.8,50.9621,26082.8,46.9249
20191001011500,83911.0,55641.9,72500.0,28269.1,50.8055,26025.1,46.7725
20191001012000,83911.0,55564.9,72500.0,28346.1,51.0143,26102.1,46.9758
20191001012500,83911.0,55227.4,72500.0,28683.6,51.9372,26439.6,47.874
20191001013000,83911.0,55251.0,72500.0,28660.0,51.8724,26416.0,47.8109
20191001013500,83911.0,54875.3,72500.0,29035.7,52.9121,26791.7,48.8228
20191001014000,83911.0,55066.0,72500.0,28845.0,52.3827,26601.0,48.3076
20191001014500,83911.0,55030.2,72500.0,28880.8,52.4818,26636.8,48.404
20191001015000,83911.0,54494.0,72500.0,29417.0,53.9821,27173.0,49.8643
20191001015500,83911.0,54594.4,72500.0,29316.6,53.6988,27072.6,49.5885
20191001020000,83911.0,54899.2,72500.0,29011.8,52.8455,26767.8,48.758
20191001020500,83911.0,54934.4,72500.0,28976.6,52.7477,26732.6,48.6628
20191001021000,83911.0,55056.0,72500.0,28855.0,52.4103,26611.0,48.3345
20191001021500,83911.0,55223.9,72500.0,28687.1,51.9469,26443.1,47.8835
20191001022000,83911.0,55112.0,72500.0,28799.0,52.2554,26555.0,48.1837
20191001022500,83911.0,55084.9,72500.0,28826.1,52.3303,26582.1,48.2566
20191001023000,83911.0,55135.3,72500.0,28775.7,52.1909,26531.7,48.121
20191001023500,83911.0,55029.9,72500.0,28881.1,52.4826,26637.1,48.4048
20191001024000,83911.0,54945.2,72500.0,28965.8,52.7177,26721.8,48.6337
20191001024500,83911.0,54923.9,72500.0,28987.1,52.7769,26743.1,48.6913
20191001025000,83911.0,54716.1,72500.0,29194.9,53.357,26950.9,49.2558
20191001025500,83911.0,55210.3,72500.0,28700.7,51.9844,26456.7,47.9199
20191001030000,83911.0,54994.6,72500.0,28916.4,52.5804,26672.4,48.5
20191001030500,83911.0,55216.5,72500.0,28694.5,51.9674,26450.5,47.9034
20191001031000,83911.0,55004.3,72500.0,28906.7,52.5536,26662.7,48.4739
20191001031500,83911.0,54994.1,72500.0,28916.9,52.5818,26672.9,48.5013
20191001032000,83911.0,55134.8,72500.0,28776.2,52.1926,26532.2,48.1225
20191001032500,83911.0,54847.4,72500.0,29063.6,52.9898,26819.6,48.8985
20191001033000,83911.0,54912.3,72500.0,28998.7,52.8092,26754.7,48.7226
20191001033500,83911.0,54724.2,72500.0,29186.8,53.3344,26942.8,49.2338
20191001034000,83911.0,54990.9,72500.0,28920.1,52.5908,26676.1,48.5101
20191001034500,83255.0,55154.5,72500.0,28100.5,50.9487,27060.5,49.063
20191001035000,83255.0,54983.3,72500.0,28271.7,51.4188,27231.7,49.5273
20191001035500,83255.0,55357.6,72500.0,27897.4,50.395,26857.4,48.5163
20191001040000,83255.0,55216.7,72500.0,28038.3,50.7786,26998.3,48.8951
20191001040500,83255.0,55191.9,72500.0,28063.1,50.8463,27023.1,48.962
20191001041000,83255.0,55062.8,72500.0,28192.2,51.2001,27152.2,49.3114
20191001041500,83255.0,55263.7,72500.0,27991.3,50.6504,26951.3,48.7685
20191001042000,83255.0,54911.4,72500.0,28343.6,51.617,27303.6,49.723
20191001042500,83255.0,55048.7,72500.0,28206.3,51.2388,27166.3,49.3496
20191001043000,83255.0,55043.7,72500.0,28211.3,51.2524,27171.3,49.363
20191001043500,83255.0,55187.9,72500.0,28067.1,50.8573,27027.1,48.9728
20191001044000,83255.0,55200.5,72500.0,28054.5,50.8229,27014.5,48.9389
20191001044500,83255.0,55764.9,72500.0,27490.1,49.2965,26450.1,47.4316
20191001045000,83255.0,55811.1,72500.0,27443.9,49.1729,26403.9,47.3094
20191001045500,83255.0,55754.9,72500.0,27500.1,49.3232,26460.1,47.4579
20191001050000,83255.0,55548.5,72500.0,27706.5,49.878,26666.5,48.0058
20191001050500,83255.0,55717.1,72500.0,27537.9,49.4244,26497.9,47.5579
20191001051000,83255.0,55967.2,72500.0,27287.8,48.7569,26247.8,46.8986
20191001051500,83255.0,56561.2,72500.0,26693.8,47.1945,25653.8,45.3558
20191001052000,83255.0,56574.8,72500.0,26680.2,47.1592,25640.2,45.3209
20191001052500,83255.0,56822.1,72500.0,26432.9,46.5187,25392.9,44.6885
20191001053000,83255.0,56674.7,72500.0,26580.3,46.8997,25540.3,45.0647
20191001053500,83255.0,57012.7,72500.0,26242.3,46.0289,25202.3,44.2047
20191001054000,83255.0,57230.3,72500.0,26024.7,45.4736,24984.7,43.6564
20191001054500,83255.0,57544.3,72500.0,25710.7,44.6798,24670.7,42.8725
20191001055000,83255.0,57819.3,72500.0,25435.7,43.9918,24395.7,42.1931
20191001055500,83255.0,58081.4,72500.0,25173.6,43.342,24133.6,41.5514
20191001060000,83255.0,58398.3,72500.0,24856.7,42.564,23816.7,40.7831
20191001060500,83255.0,58599.4,72500.0,24655.6,42.0747,23615.6,40.3
20191001061000,83255.0,58631.4,72500.0,24623.6,41.9972,23583.6,40.2234
