기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20200101000000,96211.0,65340.5,76500.0,30870.5,47.2456,26796.5,41.0106
20200101000500,96211.0,65295.7,76500.0,30915.3,47.3467,26841.3,41.1073
20200101001000,96211.0,65098.7,76500.0,31112.3,47.7924,27038.3,41.5342
20200101001500,96211.0,64927.2,66000.0,31283.8,48.1829,27209.8,41.9082
20200101002000,96211.0,64480.8,66000.0,31730.2,49.2087,27656.2,42.8905
20200101002500,96211.0,64438.3,66000.0,31772.7,49.3071,27698.7,42.9848
20200101003000,96211.0,64083.7,66000.0,32127.3,50.1334,28053.3,43.7761
20200101003500,96211.0,63796.8,66000.0,32414.2,50.8085,28340.2,44.4226
20200101004000,96211.0,63636.2,66000.0,32574.8,51.1891,28500.8,44.7871
20200101004500,96211.0,63299.5,66000.0,32911.5,51.9932,28837.5,45.5572
20200101005000,96211.0,63165.4,66000.0,33045.6,52.3159,28971.6,45.8662
20200101005500,96211.0,62694.8,66000.0,33516.2,53.4594,29442.2,46.9612
20200101010000,96211.0,62578.0,66000.0,33633.0,53.7458,29559.0,47.2355
20200101010500,96211.0,62537.3,66000.0,33673.7,53.8459,29599.7,47.3314
20200101011000,96211.0,62482.1,66000.0,33728.9,53.9817,29654.9,47.4614
20200101011500,96211.0,62431.6,66000.0,33779.4,54.1063,29705.4,47.5808
20200101012000,96211.0,62161.1,66000.0,34049.9,54.7768,29975.9,48.2228
20200101012500,96211.0,61704.5,66000.0,34506.5,55.9223,30432.5,49.3198
20200101013000,96211.0,61484.7,66000.0,34726.3,56.4797,30652.3,49.8536
20200101013500,96211.0,61453.9,66000.0,34757.1,56.5579,30683.1,49.9286
20200101014000,96211.0,61059.0,66000.0,35152.0,57.5705,31078.0,50.8982
20200101014500,96211.0,60847.4,66000.0,35363.6,58.1186,31289.6,51.4232
20200101015000,96211.0,60794.0,66000.0,35417.0,58.2574,31343.0,51.5561
20200101015500,96211.0,60533.0,66000.0,35678.0,58.9398,31604.0,52.2096
20200101020000,96211.0,60505.4,66000.0,35705.6,59.0121,31631.6,52.2789
20200101020500,96211.0,60328.3,66000.0,35882.7,59.4791,31808.7,52.726
20200101021000,96211.0,60022.5,66000.0,36188.5,60.2916,32114.5,53.5041
20200101021500,96211.0,59982.6,66000.0,36228.4,60.3981,32154.4,53.6061
20200101022000,96211.0,59624.1,66000.0,36586.9,61.3626,32512.9,54.5298
20200101022500,96211.0,59706.3,66000.0,36504.7,61.1405,32430.7,54.3171
20200101023000,96211.0,59402.1,66000.0,36808.9,61.9655,32734.9,55.1072
20200101023500,96211.0,59240.1,66000.0,36970.9,62.4086,32896.9,55.5315
20200101024000,96211.0,59056.0,64700.0,37155.0,62.9149,33081.0,56.0163
20200101024500,96211.0,59182.9,64700.0,37028.1,62.5656,32954.1,55.6819
20200101025000,96211.0,59038.3,64700.0,37172.7,62.9637,33098.7,56.0631
20200101025500,96332.0,58958.4,64700.0,37373.6,63.3898,29644.6,50.2805
20200101030000,96332.0,58633.3,64700.0,37698.7,64.2958,29969.7,51.1138
20200101030500,96332.0,58467.7,64700.0,37864.3,64.7611,30135.3,51.5419
20200101031000,96332.0,58628.7,64700.0,37703.3,64.3085,29974.3,51.1256
20200101031500,96332.0,58581.0,64700.0,37751.0,64.4423,30022.0,51.2486
20200101032000,96332.0,58379.2,64700.0,37952.8,65.0108,30223.8,51.7715
20200101032500,96332.0,58377.2,64700.0,37954.8,65.0166,30225.8,51.7768
20200101033000,96332.0,58304.4,64700.0,38027.6,65.2225,30298.6,51.9662
20200101033500,96332.0,58235.6,64700.0,38096.4,65.4179,30367.5,52.1459
20200101034000,96332.0,58034.1,64700.0,38297.9,65.9921,30568.9,52.6741
20200101034500,96332.0,57871.0,64700.0,38461.0,66.4597,30732.0,53.1042
20200101035000,96332.0,57747.7,64700.0,38584.3,66.8153,30855.3,53.4312
20200101035500,96332.0,57867.5,64700.0,38464.5,66.4701,30735.5,53.1137
20200101040000,96332.0,58234.0,64700.0,38098.0,65.4223,30369.0,52.15
20200101040500,96332.0,58398.3,64700.0,37933.7,64.957,30204.7,51.722
20200101041000,96332.0,58350.8,64700.0,37981.2,65.0911,30252.2,51.8454
20200101041500,96332.0,58400.1,64700.0,37931.9,64.9516,30202.9,51.7171
20200101042000,96332.0,58314.9,64700.0,38017.1,65.1927,30288.1,51.9388
20200101042500,96332.0,58212.8,64700.0,38119.2,65.4826,30390.2,52.2054
20200101043000,96332.0,58307.8,64700.0,38024.2,65.2128,30295.2,51.9573
20200101043500,96332.0,58224.5,64700.0,38107.5,65.4492,30378.5,52.1748
20200101044000,96332.0,58187.0,64700.0,38145.0,65.5557,30416.0,52.2727
20200101044500,96332.0,57947.7,64700.0,38384.3,66.2396,30655.3,52.9017
20200101045000,96332.0,57966.4,64700.0,38365.6,66.1861,30636.6,52.8525
20200101045500,96332.0,58176.1,64700.0,38155.9,65.5868,30426.9,52.3013
20200101050000,96332.0,58196.6,64700.0,38135.4,65.5285,30406.4,52.2476
20200101050500,96332.0,58287.9,64700.0,38044.1,65.2692,30315.1,52.0092
20200101051000,96332.0,58282.8,64700.0,38049.2,65.2836,30320.2,52.0224
20200101051500,96332.0,58370.1,64700.0,37961.9,65.0366,30232.9,51.7952
20200101052000,96332.0,58252.1,64700.0,38079.9,65.3709,30350.9,52.1027
20200101052500,96332.0,58481.8,64700.0,37850.2,64.7214,30121.2,51.5053
20200101053000,96332.0,58574.3,64700.0,37757.7,64.4612,30028.7,51.266
20200101053500,96332.0,58373.6,64700.0,37958.4,65.0268,30229.4,51.7862
20200101054000,96332.0,58207.9,64700.0,38124.1,65.4965,30395.1,52.2183
20200101054500,96332.0,57973.2,64700.0,38358.8,66.1664,30629.8,52.8343
20200101055000,96332.0,58122.9,64700.0,38209.1,65.7385,30480.1,52.4408
20200101055500,96332.0,58182.6,64700.0,38149.4,65.5685,30420.4,52.2845
20200101060000,96332.0,58417.1,64700.0,37914.9,64.9037,30185.9,51.673
