기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20190101000000,100486.0,66557.0,74721.0,33929.0,50.9774,27630.0,41.5133
20190101000500,100486.0,66524.6,74721.0,33961.4,51.051,27662.4,41.5823
20190101001000,100486.0,66424.4,65600.0,34061.6,51.2788,27762.6,41.7958
20190101001500,100486.0,66223.5,65600.0,34262.5,51.7378,27963.5,42.226
20190101002000,100486.0,66077.0,65600.0,34409.0,52.0741,28110.0,42.5413
20190101002500,100486.0,65585.9,65600.0,34900.1,53.2127,28601.1,43.6085
20190101003000,100486.0,65630.0,65600.0,34856.0,53.1098,28557.0,43.512
20190101003500,100486.0,65159.1,65600.0,35326.9,54.2163,29027.9,44.5492
20190101004000,100486.0,64931.1,65600.0,35554.9,54.758,29255.9,45.0569
20190101004500,100486.0,64792.5,65600.0,35693.5,55.089,29394.5,45.3672
20190101005000,100486.0,64617.6,65600.0,35868.4,55.5088,29569.4,45.7607
20190101005500,100486.0,64056.0,65600.0,36430.0,56.8722,30131.0,47.0386
20190101010000,100486.0,64027.9,65600.0,36458.1,56.9409,30159.1,47.103
20190101010500,100486.0,64108.0,65600.0,36378.0,56.745,30079.0,46.9194
20190101011000,100486.0,63916.3,65600.0,36569.7,57.2149,30270.7,47.3599
20190101011500,100486.0,63646.9,65600.0,36839.1,57.8805,30540.1,47.9837
20190101012000,100486.0,63475.9,65600.0,37010.1,58.3058,30711.1,48.3824
20190101012500,100486.0,62995.0,65600.0,37491.0,59.5143,31192.0,49.5151
20190101013000,100486.0,62811.1,65600.0,37674.9,59.9812,31375.9,49.9527
20190101013500,100486.0,63102.2,65600.0,37383.8,59.2432,31084.8,49.261
20190101014000,100486.0,62977.6,65600.0,37508.4,59.5582,31209.4,49.5562
20190101014500,100486.0,62453.0,65600.0,38033.0,60.8985,31734.0,50.8125
20190101015000,100486.0,62239.3,65600.0,38246.7,61.451,31947.7,51.3304
20190101015500,100486.0,62299.1,65600.0,38186.9,61.296,31887.9,51.1851
20190101020000,100486.0,62059.6,65600.0,38426.4,61.9184,32127.4,51.7685
20190101020500,100486.0,61949.4,65600.0,38536.6,62.2066,32237.6,52.0386
20190101021000,100486.0,61661.2,65600.0,38824.8,62.9647,32525.8,52.7492
20190101021500,100486.0,61620.4,65600.0,38865.6,63.0727,32566.6,52.8505
20190101022000,100486.0,61677.0,65600.0,38809.0,62.923,32510.0,52.7101
20190101022500,100486.0,61407.4,65600.0,39078.6,63.6382,32779.6,53.3804
20190101023000,100486.0,61173.4,65600.0,39312.6,64.2643,33013.6,53.9674
20190101023500,100486.0,61082.7,65600.0,39403.3,64.5081,33104.3,54.1958
20190101024000,100486.0,60780.6,65600.0,39705.4,65.3259,33406.4,54.9624
20190101024500,100486.0,60848.2,65600.0,39637.8,65.1422,33338.8,54.7902
20190101025000,100486.0,60694.5,65600.0,39791.5,65.5604,33492.5,55.1822
20190101025500,100486.0,60929.2,65600.0,39556.8,64.9226,33257.8,54.5844
20190101030000,100486.0,60852.8,65600.0,39633.2,65.1296,33334.2,54.7784
20190101030500,100486.0,60525.0,65600.0,39961.0,66.0241,33662.0,55.6168
20190101031000,100486.0,60622.1,65600.0,39863.9,65.7579,33564.9,55.3674
20190101031500,100234.0,60860.1,65600.0,39373.9,64.6958,29810.9,48.9827
20190101032000,100234.0,61055.6,65600.0,39178.4,64.1685,29615.4,48.5057
20190101032500,100234.0,61111.3,65600.0,39122.7,64.0187,29559.7,48.3702
20190101033000,100234.0,60872.9,65600.0,39361.1,64.661,29798.1,48.9513
20190101033500,100234.0,60755.8,65600.0,39478.2,64.9786,29915.2,49.2385
20190101034000,100234.0,60671.3,65600.0,39562.7,65.2083,29999.7,49.4463
20190101034500,100234.0,60576.9,65600.0,39657.1,65.4658,30094.1,49.6793
20190101035000,100234.0,60557.8,65600.0,39676.2,65.518,30113.2,49.7264
20190101035500,100234.0,60359.7,65600.0,39874.3,66.0612,30311.3,50.2179
20190101040000,100234.0,60703.5,65600.0,39530.5,65.1207,29967.5,49.3671
20190101040500,100234.0,60513.6,65600.0,39720.4,65.6387,30157.4,49.8357
20190101041000,100234.0,60562.5,65600.0,39671.5,65.5051,30108.5,49.7148
20190101041500,100234.0,60497.6,65600.0,39736.4,65.6826,30173.4,49.8754
20190101042000,100234.0,60340.1,65600.0,39893.9,66.1151,30330.9,50.2666
20190101042500,100234.0,60407.3,65600.0,39826.7,65.9301,30263.7,50.0993
20190101043000,100234.0,60535.2,65600.0,39698.8,65.5797,30135.8,49.7823
20190101043500,100234.0,60665.7,65600.0,39568.3,65.2236,30005.3,49.4601
20190101044000,100234.0,60596.1,65600.0,39637.9,65.4132,30074.9,49.6317
20190101044500,100234.0,60565.5,65600.0,39668.5,65.4968,30105.5,49.7073
20190101045000,100234.0,60453.4,65600.0,39780.6,65.8038,30217.6,49.985
20190101045500,100234.0,60363.6,65600.0,39870.4,66.0505,30307.4,50.2082
20190101050000,100234.0,60830.6,65600.0,39403.4,64.7757,29840.4,49.055
20190101050500,100234.0,60660.3,65600.0,39573.7,65.2382,30010.7,49.4733
20190101051000,100234.0,60743.3,65600.0,39490.7,65.0124,29927.7,49.2691
20190101051500,100234.0,60840.8,65600.0,39393.2,64.7481,29830.2,49.03
20190101052000,100234.0,60762.6,65600.0,39471.4,64.96,29908.4,49.2217
20190101052500,100234.0,60580.0,65600.0,39654.0,65.4573,30091.0,49.6716
20190101053000,100234.0,60778.2,65600.0,39455.8,64.9176,29892.8,49.1833
20190101053500,100234.0,60994.7,65600.0,39239.3,64.3324,29676.3,48.654
20190101054000,99166.0,61127.1,65600.0,38038.9,62.2291,28754.9,47.041
20190101054500,99166.0,61040.3,65600.0,38125.7,62.46,28841.7,47.2503
20190101055000,99166.0,61070.1,65600.0,38095.9,62.3805,28811.9,47.1783
20190101055500,99166.0,60902.6,65600.0,38263.4,62.8272,28979.4,47.5832
20190101060000,99166.0,61168.3,65600.0,37997.7,62.12,28713.7,46.9422
20190101060500,99166.0,61354.3,65600.0,37811.7,61.6285,28527.7,46.4967
20190101061000,99166.0,61486.9,65600.0,37679.1,61.28,28395.1,46.1808
20190101061500,99166.0,61426.2,65600.0,37739.8,61.4392,28455.8,46.3251
20190101062000,99166.0,61359.8,65600.0,37806.2,61.614,28522.2,46.4835
20190101062500,99166.0,61447.4,65600.0,37718.6,61.3837,28434.6,46.2748
20190101063000,99166.0,60753.4,65600.0,38412.6,63.2271,29128.6,47.9457
20190101063500,99166.0,61171.5,65600.0,37994.5,62.1114,28710.5,46.9344
20190101064000,99166.0,61232.9,65600.0,37933.1,61.949,28649.1,46.7872
20190101064500,99166.0,60987.0,65600.0,38179.0,62.6019,28895.0,47.379
20190101065000,99166.0,60768.8,65600.0,38397.2,63.1857,29113.2,47.9081
20190101065500,99166.0,60556.0,65600.0,38610.0,63.7591,29326.0,48.4279
20190101070000,99166.0,59892.2,65600.0,39273.8,65.5742,29989.8,50.073
20190101070500,99166.0,60117.8,65600.0,39048.2,64.9528,29764.2,49.5098
20190101071000,99166.0,60187.8,65600.0,38978.2,64.7609,29694.2,49.3358
20190101071500,99166.0,60205.3,65600.0,38960.7,64.7131,29676.7,49.2925
20190101072000,99166.0,59996.0,65600.0,39170.0,65.2877,29886.0,49.8134
20190101072500,99166.0,59770.3,65600.0,39395.7,65.9118,30111.7,50.379
20190101073000,99166.0,59580.4,65600.0,39585.6,66.4405,30301.6,50.8582
20190101073500,99166.0,59594.6,65600.0,39571.4,66.4011,30287.4,50.8225
20190101074000,99166.0,59469.3,65600.0,39696.7,66.7516,30412.7,51.1402
20190101074500,99166.0,59492.1,65600.0,39673.9,66.6876,30389.9,51.0822
20190101075000,99166.0,59135.7,65600.0,40030.3,67.6922,30746.3,51.9927
20190101075500,99166.0,58819.3,65600.0,40346.7,68.5943,31062.7,52.8104
20190101080000,99166.0,58626.1,65600.0,40539.9,69.1499,31255.9,53.3139
20190101080500,99166.0,58790.8,65600.0,40375.2,68.6761,31091.2,52.8846
20190101081000,99166.0,58934.9,65600.0,40231.1,68.2637,30947.1,52.5107
20190101081500,99166.0,59103.5,65600.0,40062.5,67.7835,30778.5,52.0755
20190101082000,99166.0,59073.6,65600.0,40092.4,67.8685,30808.4,52.1525
20190101082500,99166.0,59247.2,65600.0,39918.8,67.3767,30634.8,51.7068
20190101083000,99166.0,59238.3,65600.0,39927.7,67.4017,30643.7,51.7295
20190101083500,99166.0,59680.2,65600.0,39485.8,66.1624,30201.8,50.6062
20190101084000,99166.0,59661.7,65600.0,39504.3,66.214,30220.3,50.6529
20190101084500,99166.0,59387.3,65600.0,39778.7,66.9819,30494.7,51.3489
