기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20190401000000,91446.0,56911.6,59500.0,34534.4,60.6808,32677.4,57.4178
20190401000500,91446.0,56799.8,59500.0,34646.2,60.9971,32789.2,57.7277
20190401001000,91446.0,56306.3,70976.0,35139.7,62.408,33282.7,59.11
20190401001500,91446.0,55948.7,70976.0,35497.3,63.4461,33640.3,60.127
20190401002000,91446.0,55957.3,70976.0,35488.7,63.421,33631.7,60.1024
20190401002500,91446.0,55637.2,70976.0,35808.8,64.3614,33951.8,61.0237
20190401003000,91446.0,55437.6,70976.0,36008.4,64.953,34151.4,61.6033
20190401003500,91446.0,55135.9,70976.0,36310.1,65.8558,34453.1,62.4877
20190401004000,91446.0,54880.7,70976.0,36565.3,66.6267,34708.3,63.243
20190401004500,91446.0,54647.9,70976.0,36798.1,67.3367,34941.1,63.9386
20190401005000,91446.0,54587.1,70976.0,36858.9,67.5231,35001.9,64.1212
20190401005500,91446.0,54130.2,70976.0,37315.8,68.9373,35458.8,65.5066
20190401010000,91446.0,53754.1,70976.0,37691.9,70.1192,35834.9,66.6646
20190401010500,91446.0,53783.8,70976.0,37662.2,70.0253,35805.2,66.5726
20190401011000,91446.0,53815.2,70976.0,37630.8,69.9259,35773.8,66.4752
20190401011500,91446.0,54057.3,70976.0,37388.7,69.1651,35531.7,65.7298
20190401012000,91446.0,53974.3,70976.0,37471.7,69.425,35614.7,65.9845
20190401012500,91446.0,54024.2,70976.0,37421.8,69.2686,35564.8,65.8312
20190401013000,91446.0,53941.2,70976.0,37504.8,69.5291,35647.8,66.0865
20190401013500,91446.0,53974.5,70976.0,37471.5,69.4245,35614.5,65.984
20190401014000,91446.0,53897.1,70976.0,37548.9,69.6679,35691.9,66.2224
20190401014500,91446.0,53569.4,70976.0,37876.6,70.7056,36019.6,67.2391
20190401015000,91446.0,53750.2,70976.0,37695.8,70.1313,35838.8,66.6764
20190401015500,91446.0,53787.2,70976.0,37658.8,70.0146,35801.8,66.5621
20190401020000,91446.0,53897.2,70976.0,37548.8,69.6675,35691.8,66.2221
20190401020500,91446.0,53914.8,70976.0,37531.2,69.612,35674.2,66.1677
20190401021000,91446.0,53803.9,70976.0,37642.1,69.9616,35785.1,66.5102
20190401021500,91446.0,53602.2,70976.0,37843.8,70.6013,35986.8,67.1369
20190401022000,91446.0,53842.2,70976.0,37603.8,69.8409,35746.8,66.3919
20190401022500,91446.0,53866.2,70976.0,37579.8,69.765,35722.8,66.3176
20190401023000,91446.0,53980.4,70976.0,37465.6,69.4058,35608.6,65.9657
20190401023500,91446.0,53826.2,70976.0,37619.8,69.8911,35762.8,66.4411
20190401024000,91446.0,53550.1,70976.0,37895.9,70.7672,36038.9,67.2994
20190401024500,91446.0,53462.7,70976.0,37983.3,71.0463,36126.3,67.5729
20190401025000,89029.0,53448.4,70976.0,35580.6,66.57,33058.6,61.8514
20190401025500,89029.0,53530.7,70976.0,35498.3,66.3139,32976.3,61.6026
20190401030000,89029.0,53573.1,70976.0,35455.9,66.1823,32933.9,61.4747
20190401030500,89029.0,53759.3,70976.0,35269.7,65.6066,32747.7,60.9154
20190401031000,89029.0,53846.7,70976.0,35182.3,65.338,32660.3,60.6543
20190401031500,89029.0,54160.2,70976.0,34868.8,64.3808,32346.8,59.7242
20190401032000,89029.0,54166.9,70976.0,34862.1,64.3604,32340.1,59.7044
20190401032500,89029.0,54180.4,70976.0,34848.6,64.3197,32326.6,59.6649
20190401033000,89029.0,53905.7,70976.0,35123.3,65.1571,32601.3,60.4785
20190401033500,89029.0,54000.4,70976.0,35028.6,64.8673,32506.6,60.197
20190401034000,89029.0,54179.7,70976.0,34849.3,64.3218,32327.3,59.6669
20190401034500,89029.0,54111.5,70976.0,34917.5,64.5288,32395.5,59.8681
20190401035000,89029.0,54219.0,70976.0,34810.0,64.2027,32288.0,59.5512
20190401035500,89029.0,54142.9,70976.0,34886.1,64.4334,32364.1,59.7753
20190401040000,89029.0,54364.9,70976.0,34664.1,63.762,32142.1,59.123
20190401040500,89029.0,54484.7,70976.0,34544.3,63.4019,32022.3,58.773
20190401041000,89029.0,54585.2,70976.0,34443.8,63.1009,31921.8,58.4806
20190401041500,89029.0,54977.8,70976.0,34051.2,61.9362,31529.2,57.3489
20190401042000,89029.0,54580.8,70976.0,34448.2,63.1141,31926.2,58.4934
20190401042500,89029.0,54687.4,70976.0,34341.6,62.7961,31819.6,58.1844
20190401043000,89029.0,55071.4,70976.0,33957.6,61.6611,31435.6,57.0816
20190401043500,89029.0,55088.9,70976.0,33940.1,61.6095,31418.1,57.0315
20190401044000,89029.0,55487.1,70976.0,33541.9,60.45,31019.9,55.9048
20190401044500,89029.0,55668.6,70976.0,33360.4,59.9268,30838.4,55.3964
20190401045000,89029.0,55797.9,70976.0,33231.1,59.5561,30709.1,55.0362
20190401045500,89029.0,55963.1,70976.0,33065.9,59.0851,30543.9,54.5785
20190401050000,89029.0,56220.4,70976.0,32808.6,58.3572,30286.6,53.8713
20190401050500,89029.0,56369.4,70976.0,32659.6,57.9385,30137.6,53.4645
20190401051000,89029.0,56101.6,70976.0,32927.4,58.6926,30405.4,54.1971
20190401051500,89029.0,56391.1,70976.0,32637.9,57.8777,30115.9,53.4054
20190401052000,89029.0,56627.6,70976.0,32401.4,57.2183,29879.4,52.7647
20190401052500,89029.0,57004.1,70976.0,32024.9,56.1801,29502.9,51.7559
20190401053000,89029.0,57264.9,70976.0,31764.1,55.4686,29242.1,51.0645
20190401053500,89029.0,57597.3,70976.0,31431.7,54.5714,28909.7,50.1927
20190401054000,89029.0,57615.1,70976.0,31413.9,54.5238,28891.9,50.1465
20190401054500,89029.0,57905.3,70976.0,31123.7,53.7493,28601.7,49.3939
20190401055000,89029.0,58228.8,70976.0,30800.2,52.8952,28278.2,48.564
20190401055500,89029.0,58240.9,70976.0,30788.1,52.8634,28266.1,48.5331
20190401060000,89029.0,58588.7,70976.0,30440.3,51.9559,27918.3,47.6514
20190401060500,89029.0,59069.8,70976.0,29959.2,50.7183,27437.2,46.4488
20190401061000,89029.0,59413.0,70976.0,29616.0,49.8478,27094.0,45.6029
20190401061500,89029.0,60273.0,70976.0,28756.0,47.7097,26234.0,43.5254
20190401062000,89029.0,60002.4,70976.0,29026.6,48.3758,26504.6,44.1726
20190401062500,89029.0,60572.1,70976.0,28456.9,46.9802,25934.9,42.8166
